Blog	four	looking	second	here	k	reports	music	until	successful	example	want	wrong	wasn	service	project	tech	came	saying	rich	tips	best	country	asked	much	life	child	things	had	possible	right	old	o	support	happy	inside	team	along	love	fake	working	such	years	didn	investigation	internet	million	quite	open	city	future	russia	say	saw	note	take	knew	ways	going	between	roger	where	many	wants	photos	former	technology	summer	being	around	world	power	her	ad	certain	am	having	original	tv	th	case	large	small	past	full	hours	social	via	company	learn	states	its	always	found	really	research	director	major	number	obama	self	also	play	sometimes	cover	set	see	community	budget	rules	recent	person	amp	couple	d	continue	anything	link	line	posted	us	age	results	young	try	video	let	great	involved	makes	tools	next	process	high	doing	could	start	system	face	fact	bring	manchester	trying	should	hope	means	stuff	email	co	ve	off	less	web	government	five	become	places	details	monday	announced	told	word	work	order	office	then	them	network	created	another	john	away	com	speak	easy	information	photo	thanks	night	security	asking	post	months	available	way	war	update	together	guy	change	usually	live	https	car	heard	write	product	remember	still	half	down	james	year	space	shows	care	yourself	directly	than	online	price	america	only	concert	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	family	put	takes	taken	site	history	tried	help	actually	event	reason	ask	american	mobile	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	game	run	step	seeing	within	computer	russian	doesn	go	does	facebook	michael	camera	started	control	links	including	him	hands	times	data	attack	need	able	talk	based	course	she	state	key	police	problem	tuesday	party	well	lost	page	twitter	home	mdash	piece	education	stay	friends	companies	likely	even	ever	never	call	tell	room	give	point	quot	answer	president	before	personal	better	went	side	content	isn	features	mind	seen	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	save	deal	dead	track	billion	daily	show	finally	did	sharing	making	may	man	maybe	nearly	nbsp	group	interesting	living	thing	think	long	little	were	especially	behind	black	morning	enough	reading	across	according	among	mark	those	different	pay	running	money	critical	videos	youtube	again	important	u	children	public	search	two	hour	share	coming	playing	through	same	good	everyone	house	hard	idea	done	least	statement	part	believe	b	build	services	find	please	simple	simply	create	meeting	understand	fun	itself	spent	spend	source	big	bit	google	often	back	giving	others	named	ago	private	account	ll	day	text	national	taking	almost	administration	thought	latest	ads	buy	minutes	special	under	every	school	would	phone	must	me	mr	keep	end	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	quickly	several	donald	election	everything	efforts	check	no	level	quick	says	goes	water	today	thousands	trump	needs	happened	name	turn	place	white	r	any	ideas	sure	later	federal	come	myself	someone	week	without	seems	blog	program	woman	worse	far	list	design	version	known	rather	short	might	health	feel	story	store	kind	added	nothing	his	wrote	art	intelligence	recently	c	became	questions	customers	question	called	users	once	issues	include	businesses	apple	app	use	few	women	something	united	six	instead	looks	york	conversation	which	who	why	ones	words	view	stories	job	april	perhaps	gets	percent	know	press	because	getting	own	made	whether	book
RSS feed – Search Engine Watch	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Tech Blog	0	0	0	4	3	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	10	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	0	0	1	0	0	2	0	1	0	6	0	0	0	0	0	5	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	1	0	0	2	3	0	0	1	0	0	0	0	0	0	2	0	0	0	2	1	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	1	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	1	0	0	2	0	0	0	1	0	0	0	0	3	0	0	10	1	0	0	1	0	1	1	3	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	3	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eschaton	0	0	0	1	0	0	0	0	0	0	0	3	2	0	1	1	1	1	2	1	1	1	2	4	1	2	3	7	1	1	0	0	1	3	0	0	0	0	1	1	2	3	3	2	0	0	3	0	2	0	3	0	0	0	1	1	0	6	1	0	1	0	2	0	4	1	0	1	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	2	1	0	0	0	0	4	2	0	0	0	1	3	0	0	0	0	1	0	0	3	0	1	0	1	0	2	0	0	0	0	0	1	2	1	1	0	0	0	2	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	0	1	0	2	0	0	1	9	1	0	0	0	1	2	0	1	0	0	0	2	1	2	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	2	3	0	3	0	0	0	2	1	0	0	0	0	0	1	4	0	0	1	1	1	1	2	0	1	0	0	1	1	0	0	0	5	0	2	0	0	0	1	2	3	2	0	2	0	0	0	0	2	0	0	1	2	0	2	0	0	1	3	0	0	0	0	0	0	0	1	1	3	6	0	0	0	0	0	0	1	1	0	4	0	0	0	0	1	0	3	1	2	0	1	2	1	1	1	0	0	2	0	2	1	1	0	0	1	2	6	1	2	1	0	0	2	1	2	1	3	4	0	0	1	0	0	3	0	0	1	1	2	4	0	1	0	4	2	0	0	0	0	0	0	1	3	0	2	0	1	1	1	0	2	3	0	1	4	1	0	0	0	0	0	0	3	3	1	1	2	0	0	0	4	1	1	0	3	0	0	2	2	1	1	2	0	0	0	0	0	1	0	2	0	5	2	0	0	0	2	0	6	3	1	0	1	2	2	0	0	1	0	0	0	2	1	0	1	0	1	1	1	0	0	1	3	2	1	1	0	1	1	0	0	0	3	0	0	1	0	0	1	0	4	1	1	0	0	0	0	0	0	2	8	0	1	3	0	2	3	1	0	1	1	0	1	1	2	5	0	1	0	0	0	3	0	1	1	2	1	0	1	6	0	0	3	0	0	1	0	11	0	0	0	1	0	2	0	2	0	0	0	3	1	0	3	2	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	4	0	0	7	0	0	2	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	3	0	2	0	2	1	0	4	0	9	6	2	0	0	0	0	0	0	1	0	0	4	0	4	1	0	1	0	0
PerezHilton	0	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	2	0	1	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	1	1	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	7	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	0
Slashdot	0	0	0	1	0	2	0	0	0	1	3	2	0	1	3	0	0	1	0	0	0	0	0	2	1	0	0	4	1	1	1	0	1	0	0	2	0	0	3	3	4	2	0	1	2	1	0	9	3	2	0	2	1	0	3	0	2	2	2	0	0	2	0	0	1	1	0	5	1	2	1	1	2	0	1	0	0	2	0	3	1	0	2	1	1	0	0	10	0	1	19	0	0	1	0	1	0	0	0	2	8	1	1	0	2	3	0	3	2	1	2	1	0	1	1	0	0	0	2	5	1	0	0	2	3	0	0	0	1	1	3	3	0	0	4	0	0	0	1	0	0	3	1	0	2	0	2	0	1	1	0	0	1	2	2	0	3	0	1	1	4	5	2	1	2	2	2	3	2	1	0	3	0	1	2	1	0	2	0	0	2	1	0	2	0	1	1	0	0	2	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	1	4	0	0	3	0	3	2	5	0	0	0	15	0	5	3	2	0	0	1	1	3	0	0	0	0	1	1	0	1	1	0	1	1	0	1	3	3	5	0	0	3	2	2	0	1	1	0	3	1	3	1	3	0	3	1	3	2	1	1	0	1	1	3	0	3	0	0	0	8	0	6	1	1	4	2	2	0	2	0	1	2	0	3	1	0	0	1	0	0	0	0	0	2	3	3	2	1	3	2	0	2	0	0	0	3	2	0	4	0	0	0	1	0	2	0	0	4	2	0	0	0	9	3	0	1	5	5	0	0	1	2	0	0	0	0	0	1	4	0	1	0	3	0	0	0	0	0	5	0	1	0	4	0	0	3	1	3	0	0	1	0	1	8	1	0	4	3	7	0	2	1	0	0	0	1	2	0	1	1	1	1	2	1	1	1	1	0	0	1	5	0	2	1	5	1	1	0	2	2	1	0	3	2	0	4	0	3	1	1	0	0	0	0	11	0	4	0	1	1	0	0	1	1	1	0	1	3	1	1	0	0	3	3	0	1	5	2	0	9	4	1	1	0	0	3	0	0	0	1	0	0	1	3	1	1	3	0	1	10	0	1	1	1	0	0	2	0	1	0	0	1	1	0	2	1	6	3	0	0	1	1	1	0	3	0	0	1	3	0	0	2	2	3	0	0	1	0	0	1	7	0	1	0	0	0	1	0	1	17	5	1	1	2	4	0	0	4	0	0	0	2	3	3	2	1	2	1	1	4	1	2	2	0	0	2	1	1	2	0	3	0	4	12	3	1	1	0	0	3	1	0	0	0	1	1	1	0	0	3	1	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	1	0	0	0	0	0	2	0	0	0	6	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	1	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	4	1	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	3	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
MichelleMalkin.com	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
ScienceBlogs	0	1	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gothamist	0	1	0	8	0	1	0	0	0	0	1	1	0	0	1	0	0	0	2	0	5	2	1	3	2	0	1	2	0	0	3	1	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	1	3	0	0	2	0	2	0	2	0	5	0	1	3	1	0	1	0	0	3	2	1	0	1	4	0	0	0	2	1	1	0	0	0	0	1	3	2	0	0	3	1	2	5	1	2	0	0	3	2	0	0	0	6	1	0	0	1	2	1	1	0	2	0	0	0	0	1	0	0	0	0	4	1	0	1	0	4	2	1	2	0	1	4	0	2	0	3	0	0	1	0	0	2	1	1	0	0	3	0	0	5	5	1	1	2	2	0	0	0	6	2	1	0	5	0	0	2	1	0	0	0	3	3	0	1	0	0	0	1	9	3	0	1	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	2	1	8	2	0	1	0	0	2	0	0	2	4	1	0	1	2	0	0	0	0	2	0	0	0	1	2	1	8	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	1	2	1	0	0	1	1	0	0	2	0	1	1	3	0	1	2	0	3	2	3	0	5	1	1	3	0	0	1	1	1	1	0	5	1	1	2	0	2	1	3	0	2	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	3	1	0	2	1	4	0	0	2	0	1	0	1	2	0	1	0	5	1	0	2	0	2	2	0	0	0	1	0	1	0	2	0	5	0	2	0	1	3	10	1	0	9	0	0	4	0	1	1	0	5	0	0	1	1	0	0	1	4	1	0	2	1	1	1	0	2	0	4	1	1	3	1	0	0	2	0	1	3	2	4	0	1	1	1	0	0	0	3	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	1	5	0	1	0	0	3	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	5	0	0	2	1	0	1	0	3	0	2	0	1	0	0	0	0	1	2	0	3	0	1	1	0	0	0	0	0	5	1	15	0	3	0	0	0	2	0	2	0	0	2	1	1	0	0	7	1	0	0	0	6	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	10	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	4	2	1	0	6	0	6	7	1	0	0	0	3	0	0	0	0	0	2	1	2	3	2	0	0	3
